3039154	ru	Эл Тартер
3039154	en	El Tarter
3039162	en	Sant Julià de Loria
3039162	ja	サン・ジュリア・デ・ロリア教区
3039162	ru	Сан-Джулия-де-Лория
3039163	en	Sant Julià de Lòria
3039163	ja	サン・ジュリア・デ・ロリア教区
3039163	ru	Сант-Жулия-де-Лория
3039604	ru	Пас де ла Каса
3039676	en	Ordino
3039676	ja	オルディノ教区
3039676	ru	Ордино
3039678	en	Ordino
3039678	ja	オルディノ教区
3039678	ru	Ордино
3040051	en	Les Escaldes
3040051	ja	エスカルデス＝エンゴルダニ教区
3040051	ru	Эскальдес-Энджордани
3040131	en	La Massana
3040131	ja	ラ・マサナ教区
3040131	ru	Ла-Масана
3040132	en	La Massana
3040132	ja	ラ・マサナ教区
3040132	ru	Ла-Массана
3040684	en	Encamp
3040684	ja	アンカム教区
3040684	ru	Энкамп
3040686	en	Encamp
3040686	ja	エンカンプ教区
3040686	ru	Энкам
3041203	ja	カニーリョ教区
3041203	ru	Канильо
3041203	en	Canillo
3041204	en	Canillo
3041204	ja	カニーリョ教区
3041204	ru	Канильо
3041519	ru	Аринсал
3041563	en	Andorra la Vella
3041563	ja	アンドラ・ラ・ヴェリャ
3041563	ru	Андорра-ла-Велья
3041565	en	Andorra
3041565	ja	アンドラ
3041565	ru	Андорра
3041566	en	Andorra la Vella
3338529	en	Escaldes-Engordany
3338529	ja	エスカルデス＝エンゴルダニ教区
3338529	ru	Эскальдес-Энгордань
290503	en	Warisan
290557	en	United Arab Emirates
290557	ja	アラブ首長国連邦
290557	ru	ОАЭ
290581	en	Umm Suqeim
290594	ru	Умм-эль-Кайвайн
290594	en	Umm Al Quwain City
290594	ja	ウンム・アル・カイワイン
290595	en	Umm Al Quwain
290595	ja	ウンム・アル・カイワイン
291074	ru	Рас-эль-Хайма
291074	en	Ras al-Khaimah
291074	ja	ラス・アル・ハイマ
291075	en	Emirate of Ras Al Khaimah
291075	ru	Эмират Рас-эль-Хайма
291075	ja	ラス・アル・ハイマ
291279	en	Mezaira’a
291279	ru	Музаири
291339	ru	Мирба
291580	en	Zayed City
